"id";"ALUMNOS";"ESPANOL";"MATEMATICAS";"INGLES";"CIENCIAS_NATURALES";"HISTORIA";"EDUCACION_FISICA";"ARTES";"TECNOLOGIA";"NUM_FALTAS";"PARTICIPACIONES";"RENDIMIENTO"
215;"ALEJANDRO MARTINEZ PEREZ";51.0;55.0;54.0;52.0;53.0;60.0;57.0;55.0;27;1;"Malo"
216;"MARIA GUTIERREZ RAMIREZ";83.0;79.0;85.0;80.0;82.0;86.0;83.0;82.0;7;4;"Bueno"
217;"SANTIAGO GONZALEZ MARTINEZ";70.0;68.0;69.0;72.0;71.0;75.0;74.0;71.0;12;3;"Regular"
218;"GABRIEL MARTINEZ HERNANDEZ";85.0;88.0;87.0;89.0;87.0;91.0;86.0;88.0;6;4;"Bueno"
219;"CARLA HERNANDEZ FLORES";60.0;66.0;63.0;62.0;61.0;67.0;64.0;63.0;19;2;"Regular"
220;"OSCAR PEREZ RAMIREZ";91.0;89.0;88.0;92.0;94.0;95.0;89.0;90.0;4;5;"Excelente"
221;"LORENA GOMEZ GUTIERREZ";54.0;59.0;58.0;57.0;60.0;64.0;61.0;60.0;22;3;"Malo"
222;"RUBEN RAMIREZ MARTINEZ";78.0;80.0;79.0;82.0;81.0;85.0;80.0;81.0;8;4;"Bueno"
223;"VERONICA GONZALEZ PEREZ";67.0;71.0;70.0;69.0;70.0;74.0;72.0;71.0;13;3;"Regular"
224;"FELIPE MARTINEZ HERNANDEZ";95.0;93.0;96.0;92.0;95.0;97.0;96.0;94.0;3;5;"Excelente"
225;"CRISTINA HERNANDEZ RAMIREZ";51.0;54.0;53.0;56.0;55.0;60.0;58.0;57.0;26;1;"Malo"
226;"ALDO GUTIERREZ PEREZ";83.0;80.0;84.0;81.0;83.0;86.0;84.0;81.0;7;4;"Bueno"
227;"MARIELA GOMEZ HERNANDEZ";68.0;69.0;71.0;70.0;71.0;76.0;74.0;71.0;12;3;"Regular"
228;"ARTURO RAMIREZ MARTINEZ";88.0;87.0;89.0;90.0;91.0;92.0;85.0;88.0;5;4;"Bueno"
229;"EVELYN HERNANDEZ FLORES";60.0;66.0;65.0;63.0;62.0;67.0;65.0;64.0;18;2;"Regular"
230;"MANUEL PEREZ RAMIREZ";90.0;88.0;89.0;91.0;93.0;94.0;88.0;90.0;4;5;"Excelente"
231;"DANIELA GUTIERREZ GARCIA";54.0;58.0;59.0;57.0;60.0;64.0;60.0;59.0;22;3;"Malo"
232;"EMILIO RAMIREZ MARTINEZ";77.0;79.0;78.0;82.0;81.0;84.0;79.0;80.0;8;4;"Bueno"
233;"IRENE GONZALEZ HERNANDEZ";68.0;72.0;71.0;69.0;70.0;75.0;73.0;70.0;12;3;"Regular"
234;"LEONARDO MARTINEZ RAMIREZ";96.0;94.0;95.0;93.0;95.0;97.0;96.0;94.0;3;5;"Excelente"
235;"ANDREA HERNANDEZ FLORES";51.0;55.0;54.0;52.0;53.0;60.0;58.0;55.0;27;1;"Malo"
236;"MARIO GUTIERREZ PEREZ";82.0;79.0;84.0;80.0;82.0;85.0;84.0;81.0;7;4;"Bueno"
237;"LUCIA GONZALEZ MARTINEZ";70.0;69.0;71.0;72.0;71.0;76.0;74.0;70.0;11;3;"Regular"
238;"ISRAEL RAMIREZ HERNANDEZ";85.0;87.0;86.0;89.0;87.0;91.0;86.0;87.0;6;4;"Bueno"
239;"VIOLETA HERNANDEZ FLORES";62.0;66.0;64.0;63.0;61.0;65.0;64.0;63.0;18;2;"Regular"
240;"RICARDO PEREZ MARTINEZ";90.0;88.0;89.0;91.0;92.0;95.0;89.0;90.0;4;5;"Excelente"
241;"KARINA GUTIERREZ HERNANDEZ";56.0;59.0;58.0;57.0;60.0;63.0;62.0;60.0;22;3;"Malo"
242;"CRISTOBAL RAMIREZ PEREZ";79.0;81.0;78.0;82.0;81.0;85.0;80.0;81.0;7;4;"Bueno"
243;"IVAN GONZALEZ RAMIREZ";67.0;71.0;70.0;69.0;70.0;74.0;72.0;71.0;13;3;"Regular"
244;"REBECA MARTINEZ HERNANDEZ";95.0;94.0;96.0;92.0;95.0;97.0;96.0;94.0;3;5;"Excelente"
245;"SALVADOR HERNANDEZ FLORES";51.0;54.0;53.0;56.0;55.0;60.0;58.0;57.0;27;1;"Malo"
246;"MARGARITA GUTIERREZ PEREZ";83.0;79.0;85.0;80.0;83.0;86.0;84.0;81.0;7;4;"Bueno"
247;"ELIAS GONZALEZ MARTINEZ";68.0;70.0;71.0;72.0;70.0;76.0;74.0;71.0;12;3;"Regular"
248;"EDGAR RAMIREZ HERNANDEZ";85.0;88.0;87.0;90.0;89.0;91.0;86.0;88.0;6;4;"Bueno"
249;"FERNANDA HERNANDEZ FLORES";60.0;65.0;64.0;63.0;62.0;67.0;64.0;63.0;18;2;"Regular"
250;"OMAR PEREZ MARTINEZ";91.0;89.0;88.0;92.0;93.0;94.0;89.0;90.0;4;5;"Excelente"
251;"LUZ GUTIERREZ GARCIA";54.0;59.0;58.0;57.0;56.0;63.0;61.0;60.0;23;3;"Malo"
252;"HUGO RAMIREZ MARTINEZ";77.0;80.0;79.0;82.0;81.0;85.0;80.0;81.0;8;4;"Bueno"
253;"MONTSERRAT GONZALEZ PEREZ";66.0;72.0;70.0;69.0;68.0;75.0;72.0;71.0;12;3;"Regular"
254;"JORGE MARTINEZ HERNANDEZ";96.0;93.0;95.0;92.0;95.0;97.0;96.0;94.0;3;5;"Excelente"
255;"TANIA HERNANDEZ FLORES";51.0;54.0;53.0;56.0;55.0;60.0;58.0;57.0;27;1;"Malo"
256;"DAVID GUTIERREZ PEREZ";82.0;79.0;84.0;81.0;83.0;86.0;84.0;81.0;7;4;"Bueno"
257;"ALICIA GONZALEZ MARTINEZ";70.0;68.0;71.0;72.0;71.0;76.0;74.0;70.0;11;3;"Regular"
258;"ISIDRO RAMIREZ HERNANDEZ";85.0;87.0;86.0;89.0;87.0;91.0;86.0;87.0;6;4;"Bueno"
259;"CLAUDIA HERNANDEZ FLORES";62.0;66.0;65.0;64.0;63.0;68.0;64.0;63.0;18;2;"Regular"
260;"RAFAEL PEREZ MARTINEZ";90.0;89.0;88.0;91.0;93.0;95.0;89.0;90.0;4;5;"Excelente"
261;"LOURDES GUTIERREZ HERNANDEZ";54.0;58.0;59.0;57.0;60.0;64.0;62.0;60.0;22;3;"Malo"
262;"FRANCISCO RAMIREZ PEREZ";78.0;80.0;79.0;82.0;81.0;85.0;80.0;81.0;8;4;"Bueno"
263;"XIMENA GONZALEZ MARTINEZ";67.0;71.0;70.0;69.0;70.0;74.0;72.0;71.0;13;3;"Regular"
264;"LUIS MARTINEZ HERNANDEZ";95.0;93.0;96.0;92.0;95.0;97.0;96.0;94.0;3;5;"Excelente"
265;"ALMA HERNANDEZ FLORES";51.0;55.0;54.0;52.0;53.0;60.0;57.0;55.0;26;1;"Malo"
266;"FERNANDO GUTIERREZ PEREZ";82.0;79.0;83.0;80.0;82.0;85.0;84.0;81.0;7;4;"Bueno"
267;"LUCIA GONZALEZ MARTINEZ";70.0;68.0;69.0;72.0;71.0;75.0;74.0;71.0;12;3;"Regular"
268;"ISABEL RAMIREZ HERNANDEZ";85.0;88.0;86.0;89.0;87.0;91.0;86.0;88.0;6;4;"Bueno"
269;"VICTORIA HERNANDEZ FLORES";60.0;66.0;63.0;62.0;61.0;67.0;64.0;63.0;19;2;"Regular"
270;"RICARDO PEREZ MARTINEZ";91.0;89.0;88.0;92.0;94.0;95.0;89.0;90.0;4;5;"Excelente"
271;"KARINA GUTIERREZ HERNANDEZ";54.0;59.0;58.0;57.0;60.0;64.0;62.0;60.0;22;3;"Malo"
272;"CRISTOBAL RAMIREZ PEREZ";79.0;81.0;78.0;82.0;81.0;85.0;80.0;81.0;7;4;"Bueno"
273;"IVAN GONZALEZ RAMIREZ";67.0;71.0;70.0;69.0;70.0;74.0;72.0;71.0;13;3;"Regular"
274;"REBECA MARTINEZ HERNANDEZ";95.0;94.0;96.0;92.0;95.0;97.0;96.0;94.0;3;5;"Excelente"
275;"SALVADOR HERNANDEZ FLORES";51.0;54.0;53.0;56.0;55.0;60.0;58.0;57.0;27;1;"Malo"
276;"MARGARITA GUTIERREZ PEREZ";83.0;79.0;85.0;80.0;83.0;86.0;84.0;81.0;7;4;"Bueno"
277;"ELIAS GONZALEZ MARTINEZ";68.0;70.0;71.0;72.0;70.0;76.0;74.0;71.0;12;3;"Regular"
278;"EDGAR RAMIREZ HERNANDEZ";85.0;88.0;87.0;90.0;89.0;91.0;86.0;88.0;6;4;"Bueno"
279;"FERNANDA HERNANDEZ FLORES";60.0;65.0;64.0;63.0;62.0;67.0;64.0;63.0;18;2;"Regular"
280;"OMAR PEREZ MARTINEZ";91.0;89.0;88.0;92.0;93.0;94.0;89.0;90.0;4;5;"Excelente"
281;"LUZ GUTIERREZ GARCIA";54.0;59.0;58.0;57.0;56.0;63.0;61.0;60.0;23;3;"Malo"
282;"HUGO RAMIREZ MARTINEZ";77.0;80.0;79.0;82.0;81.0;85.0;80.0;81.0;8;4;"Bueno"
283;"MONTSERRAT GONZALEZ PEREZ";66.0;72.0;70.0;69.0;68.0;75.0;72.0;71.0;12;3;"Regular"
284;"JORGE MARTINEZ HERNANDEZ";96.0;93.0;95.0;92.0;95.0;97.0;96.0;94.0;3;5;"Excelente"
285;"TANIA HERNANDEZ FLORES";51.0;54.0;53.0;56.0;55.0;60.0;58.0;57.0;27;1;"Malo"
286;"DAVID GUTIERREZ PEREZ";82.0;79.0;84.0;81.0;83.0;86.0;84.0;81.0;7;4;"Bueno"
287;"ALICIA GONZALEZ MARTINEZ";70.0;68.0;71.0;72.0;71.0;76.0;74.0;70.0;11;3;"Regular"
288;"ISIDRO RAMIREZ HERNANDEZ";85.0;87.0;86.0;89.0;87.0;91.0;86.0;87.0;6;4;"Bueno"
289;"CLAUDIA HERNANDEZ FLORES";62.0;66.0;65.0;64.0;63.0;68.0;64.0;63.0;18;2;"Regular"
290;"RAFAEL PEREZ MARTINEZ";90.0;89.0;88.0;91.0;93.0;95.0;89.0;90.0;4;5;"Excelente"
291;"LOURDES GUTIERREZ HERNANDEZ";54.0;58.0;59.0;57.0;60.0;64.0;62.0;60.0;22;3;"Malo"
292;"FRANCISCO RAMIREZ PEREZ";78.0;80.0;79.0;82.0;81.0;85.0;80.0;81.0;8;4;"Bueno"
293;"XIMENA GONZALEZ MARTINEZ";67.0;71.0;70.0;69.0;70.0;74.0;72.0;71.0;13;3;"Regular"
294;"LUIS MARTINEZ HERNANDEZ";95.0;93.0;96.0;92.0;95.0;97.0;96.0;94.0;3;5;"Excelente"
295;"ALMA HERNANDEZ FLORES";51.0;55.0;54.0;52.0;53.0;60.0;57.0;55.0;26;1;"Malo"
296;"FERNANDO GUTIERREZ PEREZ";82.0;79.0;83.0;80.0;82.0;85.0;84.0;81.0;7;4;"Bueno"
297;"LUCIA GONZALEZ MARTINEZ";70.0;68.0;69.0;72.0;71.0;75.0;74.0;71.0;12;3;"Regular"
298;"ISABEL RAMIREZ HERNANDEZ";85.0;88.0;86.0;89.0;87.0;91.0;86.0;88.0;6;4;"Bueno"
299;"VICTORIA HERNANDEZ FLORES";60.0;66.0;63.0;62.0;61.0;67.0;64.0;63.0;19;2;"Regular"
300;"RICARDO PEREZ MARTINEZ";91.0;89.0;88.0;92.0;94.0;95.0;89.0;90.0;4;5;"Excelente"
301;"KARINA GUTIERREZ HERNANDEZ";54.0;59.0;58.0;57.0;60.0;64.0;62.0;60.0;22;3;"Malo"
302;"CRISTOBAL RAMIREZ PEREZ";79.0;81.0;78.0;82.0;81.0;85.0;80.0;81.0;7;4;"Bueno"
303;"IVAN GONZALEZ RAMIREZ";67.0;71.0;70.0;69.0;70.0;74.0;72.0;71.0;13;3;"Regular"
304;"REBECA MARTINEZ HERNANDEZ";95.0;94.0;96.0;92.0;95.0;97.0;96.0;94.0;3;5;"Excelente"
305;"SALVADOR HERNANDEZ FLORES";51.0;54.0;53.0;56.0;55.0;60.0;58.0;57.0;27;1;"Malo"
306;"MARGARITA GUTIERREZ PEREZ";83.0;79.0;85.0;80.0;83.0;86.0;84.0;81.0;7;4;"Bueno"
307;"ELIAS GONZALEZ MARTINEZ";68.0;70.0;71.0;72.0;70.0;76.0;74.0;71.0;12;3;"Regular"
308;"EDGAR RAMIREZ HERNANDEZ";85.0;88.0;87.0;90.0;89.0;91.0;86.0;88.0;6;4;"Bueno"
309;"FERNANDA HERNANDEZ FLORES";60.0;65.0;64.0;63.0;62.0;67.0;64.0;63.0;18;2;"Regular"
310;"OMAR PEREZ MARTINEZ";91.0;89.0;88.0;92.0;93.0;94.0;89.0;90.0;4;5;"Excelente"
311;"LUZ GUTIERREZ GARCIA";54.0;59.0;58.0;57.0;56.0;63.0;61.0;60.0;23;3;"Malo"
312;"HUGO RAMIREZ MARTINEZ";77.0;80.0;79.0;82.0;81.0;85.0;80.0;81.0;8;4;"Bueno"
313;"MONTSERRAT GONZALEZ PEREZ";66.0;72.0;70.0;69.0;68.0;75.0;72.0;71.0;12;3;"Regular"
314;"JORGE MARTINEZ HERNANDEZ";96.0;93.0;95.0;92.0;95.0;97.0;96.0;94.0;3;5;"Excelente"
315;"TANIA HERNANDEZ FLORES";51.0;54.0;53.0;56.0;55.0;60.0;58.0;57.0;27;1;"Malo"
316;"DAVID GUTIERREZ PEREZ";82.0;79.0;84.0;81.0;83.0;86.0;84.0;81.0;7;4;"Bueno"
317;"ALICIA GONZALEZ MARTINEZ";70.0;68.0;71.0;72.0;71.0;76.0;74.0;70.0;11;3;"Regular"
318;"ISIDRO RAMIREZ HERNANDEZ";85.0;87.0;86.0;89.0;87.0;91.0;86.0;87.0;6;4;"Bueno"
319;"CLAUDIA HERNANDEZ FLORES";62.0;66.0;65.0;64.0;63.0;68.0;64.0;63.0;18;2;"Regular"
320;"RAFAEL PEREZ MARTINEZ";90.0;89.0;88.0;91.0;93.0;95.0;89.0;90.0;4;5;"Excelente"
321;"LOURDES GUTIERREZ HERNANDEZ";54.0;58.0;59.0;57.0;60.0;64.0;62.0;60.0;22;3;"Malo"
322;"FRANCISCO RAMIREZ PEREZ";78.0;80.0;79.0;82.0;81.0;85.0;80.0;81.0;8;4;"Bueno"
323;"XIMENA GONZALEZ MARTINEZ";67.0;71.0;70.0;69.0;70.0;74.0;72.0;71.0;13;3;"Regular"
324;"LUIS MARTINEZ HERNANDEZ";95.0;93.0;96.0;92.0;95.0;97.0;96.0;94.0;3;5;"Excelente"
325;"ALMA HERNANDEZ FLORES";51.0;55.0;54.0;52.0;53.0;60.0;57.0;55.0;26;1;"Malo"
326;"FERNANDO GUTIERREZ PEREZ";82.0;79.0;83.0;80.0;82.0;85.0;84.0;81.0;7;4;"Bueno"
327;"LUCIA GONZALEZ MARTINEZ";70.0;68.0;69.0;72.0;71.0;75.0;74.0;71.0;12;3;"Regular"
328;"ISABEL RAMIREZ HERNANDEZ";85.0;88.0;86.0;89.0;87.0;91.0;86.0;88.0;6;4;"Bueno"
329;"VICTORIA HERNANDEZ FLORES";60.0;66.0;63.0;62.0;61.0;67.0;64.0;63.0;19;2;"Regular"
330;"RICARDO PEREZ MARTINEZ";91.0;89.0;88.0;92.0;94.0;95.0;89.0;90.0;4;5;"Excelente"
331;"KARINA GUTIERREZ HERNANDEZ";54.0;59.0;58.0;57.0;60.0;64.0;62.0;60.0;22;3;"Malo"
332;"CRISTOBAL RAMIREZ PEREZ";79.0;81.0;78.0;82.0;81.0;85.0;80.0;81.0;7;4;"Bueno"
333;"IVAN GONZALEZ RAMIREZ";67.0;71.0;70.0;69.0;70.0;74.0;72.0;71.0;13;3;"Regular"
334;"REBECA MARTINEZ HERNANDEZ";95.0;94.0;96.0;92.0;95.0;97.0;96.0;94.0;3;5;"Excelente"
335;"SALVADOR HERNANDEZ FLORES";51.0;54.0;53.0;56.0;55.0;60.0;58.0;57.0;27;1;"Malo"
336;"MARGARITA GUTIERREZ PEREZ";83.0;79.0;85.0;80.0;83.0;86.0;84.0;81.0;7;4;"Bueno"
337;"ELIAS GONZALEZ MARTINEZ";68.0;70.0;71.0;72.0;70.0;76.0;74.0;71.0;12;3;"Regular"
338;"EDGAR RAMIREZ HERNANDEZ";85.0;88.0;87.0;90.0;89.0;91.0;86.0;88.0;6;4;"Bueno"
339;"FERNANDA HERNANDEZ FLORES";60.0;65.0;64.0;63.0;62.0;67.0;64.0;63.0;18;2;"Regular"
340;"OMAR PEREZ MARTINEZ";91.0;89.0;88.0;92.0;93.0;94.0;89.0;90.0;4;5;"Excelente"
341;"LUZ GUTIERREZ GARCIA";54.0;59.0;58.0;57.0;56.0;63.0;61.0;60.0;23;3;"Malo"
342;"HUGO RAMIREZ MARTINEZ";77.0;80.0;79.0;82.0;81.0;85.0;80.0;81.0;8;4;"Bueno"
343;"MONTSERRAT GONZALEZ PEREZ";66.0;72.0;70.0;69.0;68.0;75.0;72.0;71.0;12;3;"Regular"
344;"JORGE MARTINEZ HERNANDEZ";96.0;93.0;95.0;92.0;95.0;97.0;96.0;94.0;3;5;"Excelente"
345;"TANIA HERNANDEZ FLORES";51.0;54.0;53.0;56.0;55.0;60.0;58.0;57.0;27;1;"Malo"
346;"DAVID GUTIERREZ PEREZ";82.0;79.0;84.0;81.0;83.0;86.0;84.0;81.0;7;4;"Bueno"
347;"ALICIA GONZALEZ MARTINEZ";70.0;68.0;71.0;72.0;71.0;76.0;74.0;70.0;11;3;"Regular"
348;"ISIDRO RAMIREZ HERNANDEZ";85.0;87.0;86.0;89.0;87.0;91.0;86.0;87.0;6;4;"Bueno"
349;"CLAUDIA HERNANDEZ FLORES";62.0;66.0;65.0;64.0;63.0;68.0;64.0;63.0;18;2;"Regular"
350;"RAFAEL PEREZ MARTINEZ";90.0;89.0;88.0;91.0;93.0;95.0;89.0;90.0;4;5;"Excelente"
351;"LOURDES GUTIERREZ HERNANDEZ";54.0;58.0;59.0;57.0;60.0;64.0;62.0;60.0;22;3;"Malo"
352;"FRANCISCO RAMIREZ PEREZ";78.0;80.0;79.0;82.0;81.0;85.0;80.0;81.0;8;4;"Bueno"
353;"XIMENA GONZALEZ MARTINEZ";67.0;71.0;70.0;69.0;70.0;74.0;72.0;71.0;13;3;"Regular"
354;"LUIS MARTINEZ HERNANDEZ";95.0;93.0;96.0;92.0;95.0;97.0;96.0;94.0;3;5;"Excelente"
355;"ALMA HERNANDEZ FLORES";51.0;55.0;54.0;52.0;53.0;60.0;57.0;55.0;26;1;"Malo"
356;"FERNANDO GUTIERREZ PEREZ";82.0;79.0;83.0;80.0;82.0;85.0;84.0;81.0;7;4;"Bueno"
357;"LUCIA GONZALEZ MARTINEZ";70.0;68.0;69.0;72.0;71.0;75.0;74.0;71.0;12;3;"Regular"
358;"ISABEL RAMIREZ HERNANDEZ";85.0;88.0;86.0;89.0;87.0;91.0;86.0;88.0;6;4;"Bueno"
359;"VICTORIA HERNANDEZ FLORES";60.0;66.0;63.0;62.0;61.0;67.0;64.0;63.0;19;2;"Regular"
360;"RICARDO PEREZ MARTINEZ";91.0;89.0;88.0;92.0;94.0;95.0;89.0;90.0;4;5;"Excelente"
361;"KARINA GUTIERREZ HERNANDEZ";54.0;59.0;58.0;57.0;60.0;64.0;62.0;60.0;22;3;"Malo"
362;"CRISTOBAL RAMIREZ PEREZ";79.0;81.0;78.0;82.0;81.0;85.0;80.0;81.0;7;4;"Bueno"
363;"IVAN GONZALEZ RAMIREZ";67.0;71.0;70.0;69.0;70.0;74.0;72.0;71.0;13;3;"Regular"
364;"REBECA MARTINEZ HERNANDEZ";95.0;94.0;96.0;92.0;95.0;97.0;96.0;94.0;3;5;"Excelente"
365;"SALVADOR HERNANDEZ FLORES";51.0;54.0;53.0;56.0;55.0;60.0;58.0;57.0;27;1;"Malo"
366;"MARGARITA GUTIERREZ PEREZ";83.0;79.0;85.0;80.0;83.0;86.0;84.0;81.0;7;4;"Bueno"
367;"ELIAS GONZALEZ MARTINEZ";68.0;70.0;71.0;72.0;70.0;76.0;74.0;71.0;12;3;"Regular"
368;"EDGAR RAMIREZ HERNANDEZ";85.0;88.0;87.0;90.0;89.0;91.0;86.0;88.0;6;4;"Bueno"
369;"FERNANDA HERNANDEZ FLORES";60.0;65.0;64.0;63.0;62.0;67.0;64.0;63.0;18;2;"Regular"
370;"OMAR PEREZ MARTINEZ";91.0;89.0;88.0;92.0;93.0;94.0;89.0;90.0;4;5;"Excelente"
371;"LUZ GUTIERREZ GARCIA";54.0;59.0;58.0;57.0;56.0;63.0;61.0;60.0;23;3;"Malo"
372;"HUGO RAMIREZ MARTINEZ";77.0;80.0;79.0;82.0;81.0;85.0;80.0;81.0;8;4;"Bueno"
373;"MONTSERRAT GONZALEZ PEREZ";66.0;72.0;70.0;69.0;68.0;75.0;72.0;71.0;12;3;"Regular"
374;"JORGE MARTINEZ HERNANDEZ";96.0;93.0;95.0;92.0;95.0;97.0;96.0;94.0;3;5;"Excelente"
375;"TANIA HERNANDEZ FLORES";51.0;54.0;53.0;56.0;55.0;60.0;58.0;57.0;27;1;"Malo"
376;"DAVID GUTIERREZ PEREZ";82.0;79.0;84.0;81.0;83.0;86.0;84.0;81.0;7;4;"Bueno"
377;"ALICIA GONZALEZ MARTINEZ";70.0;68.0;71.0;72.0;71.0;76.0;74.0;70.0;11;3;"Regular"
378;"ISIDRO RAMIREZ HERNANDEZ";85.0;87.0;86.0;89.0;87.0;91.0;86.0;87.0;6;4;"Bueno"
379;"CLAUDIA HERNANDEZ FLORES";62.0;66.0;65.0;64.0;63.0;68.0;64.0;63.0;18;2;"Regular"
380;"RAFAEL PEREZ MARTINEZ";90.0;89.0;88.0;91.0;93.0;95.0;89.0;90.0;4;5;"Excelente"
381;"LOURDES GUTIERREZ HERNANDEZ";54.0;58.0;59.0;57.0;60.0;64.0;62.0;60.0;22;3;"Malo"
382;"FRANCISCO RAMIREZ PEREZ";78.0;80.0;79.0;82.0;81.0;85.0;80.0;81.0;8;4;"Bueno"
383;"XIMENA GONZALEZ MARTINEZ";67.0;71.0;70.0;69.0;70.0;74.0;72.0;71.0;13;3;"Regular"
384;"ALEJANDRO GOMEZ SANCHEZ";85.0;90.0;88.0;92.0;89.0;95.0;87.0;90.0;5;4;"Bueno"
385;"MARTA FERNANDEZ PEREZ";60.0;70.0;65.0;62.0;58.0;60.0;65.0;68.0;15;3;"Regular"
386;"JOAQUIN MARTINEZ LOPEZ";90.0;85.0;88.0;92.0;91.0;93.0;89.0;91.0;3;5;"Excelente"
387;"ANA GONZALEZ HERNANDEZ";55.0;60.0;58.0;57.0;59.0;64.0;61.0;60.0;20;2;"Malo"
388;"CARLOS RAMIREZ TORRES";78.0;82.0;80.0;85.0;84.0;88.0;82.0;85.0;8;4;"Bueno"
389;"LAURA PEREZ RAMIREZ";68.0;75.0;70.0;72.0;70.0;80.0;75.0;73.0;12;3;"Regular"
390;"RAFAEL HERNANDEZ CRUZ";95.0;92.0;94.0;93.0;94.0;97.0;96.0;94.0;2;5;"Excelente"
391;"MONICA FLORES DIAZ";50.0;55.0;52.0;53.0;56.0;61.0;57.0;54.0;25;1;"Malo"
392;"JUAN MORALES GARCIA";82.0;78.0;85.0;80.0;83.0;86.0;84.0;83.0;6;4;"Bueno"
393;"PATRICIA TORRES HERRERA";70.0;65.0;68.0;72.0;70.0;75.0;73.0;71.0;10;3;"Regular"
394;"ALFREDO GOMEZ PEREZ";85.0;90.0;88.0;92.0;89.0;95.0;87.0;90.0;5;4;"Bueno"
395;"ROSARIO RAMIREZ LOPEZ";60.0;70.0;65.0;62.0;58.0;60.0;65.0;68.0;15;3;"Regular"
396;"MIGUEL MARTINEZ HERNANDEZ";90.0;85.0;88.0;92.0;91.0;93.0;89.0;91.0;3;5;"Excelente"
397;"SOFIA GONZALEZ PEREZ";55.0;60.0;58.0;57.0;59.0;64.0;61.0;60.0;20;2;"Malo"
398;"FRANCISCO RAMIREZ SANCHEZ";78.0;82.0;80.0;85.0;84.0;88.0;82.0;85.0;8;4;"Bueno"
399;"ALICIA PEREZ GONZALEZ";68.0;75.0;70.0;72.0;70.0;80.0;75.0;73.0;12;3;"Regular"
400;"JORGE HERNANDEZ MARTINEZ";95.0;92.0;94.0;93.0;94.0;97.0;96.0;94.0;2;5;"Excelente"
401;"LUZ FLORES RAMIREZ";50.0;55.0;52.0;53.0;56.0;61.0;57.0;54.0;25;1;"Malo"
402;"DAVID MORALES HERRERA";82.0;78.0;85.0;80.0;83.0;86.0;84.0;83.0;6;4;"Bueno"
403;"VERONICA TORRES LOPEZ";70.0;65.0;68.0;72.0;70.0;75.0;73.0;71.0;10;3;"Regular"
404;"CARLOS GOMEZ HERNANDEZ";85.0;90.0;88.0;92.0;89.0;95.0;87.0;90.0;5;4;"Bueno"
405;"ANA MARTINEZ PEREZ";60.0;70.0;65.0;62.0;58.0;60.0;65.0;68.0;15;3;"Regular"
406;"JOSE RAMIREZ LOPEZ";90.0;85.0;88.0;92.0;91.0;93.0;89.0;91.0;3;5;"Excelente"
407;"MARIA GONZALEZ RAMIREZ";55.0;60.0;58.0;57.0;59.0;64.0;61.0;60.0;20;2;"Malo"
408;"ALFONSO RAMIREZ PEREZ";78.0;82.0;80.0;85.0;84.0;88.0;82.0;85.0;8;4;"Bueno"
409;"ELENA PEREZ HERRERA";68.0;75.0;70.0;72.0;70.0;80.0;75.0;73.0;12;3;"Regular"
410;"RAUL HERNANDEZ GONZALEZ";95.0;92.0;94.0;93.0;94.0;97.0;96.0;94.0;2;5;"Excelente"
411;"ROSALIA FLORES MARTINEZ";50.0;55.0;52.0;53.0;56.0;61.0;57.0;54.0;25;1;"Malo"
412;"ANDRES MORALES SANCHEZ";82.0;78.0;85.0;80.0;83.0;86.0;84.0;83.0;6;4;"Bueno"
413;"CRISTINA TORRES GONZALEZ";70.0;65.0;68.0;72.0;70.0;75.0;73.0;71.0;10;3;"Regular"
414;"CARLOS GOMEZ MARTINEZ";85.0;90.0;88.0;92.0;89.0;95.0;87.0;90.0;5;4;"Bueno"
415;"MARIA MARTINEZ RAMIREZ";60.0;70.0;65.0;62.0;58.0;60.0;65.0;68.0;15;3;"Regular"
416;"JORGE RAMIREZ PEREZ";90.0;85.0;88.0;92.0;91.0;93.0;89.0;91.0;3;5;"Excelente"
417;"LUISA GONZALEZ HERRERA";55.0;60.0;58.0;57.0;59.0;64.0;61.0;60.0;20;2;"Malo"
418;"FRANCISCO RAMIREZ MARTINEZ";78.0;82.0;80.0;85.0;84.0;88.0;82.0;85.0;8;4;"Bueno"
419;"LAURA PEREZ GONZALEZ";68.0;75.0;70.0;72.0;70.0;80.0;75.0;73.0;12;3;"Regular"
420;"ALEJANDRO HERNANDEZ CRUZ";95.0;92.0;94.0;93.0;94.0;97.0;96.0;94.0;2;5;"Excelente"
421;"MONICA FLORES DIAZ";50.0;55.0;52.0;53.0;56.0;61.0;57.0;54.0;25;1;"Malo"
422;"JUAN MORALES GARCIA";82.0;78.0;85.0;80.0;83.0;86.0;84.0;83.0;6;4;"Bueno"
423;"PATRICIA TORRES HERRERA";70.0;65.0;68.0;72.0;70.0;75.0;73.0;71.0;10;3;"Regular"
424;"ALFREDO GOMEZ PEREZ";85.0;90.0;88.0;92.0;89.0;95.0;87.0;90.0;5;4;"Bueno"
425;"ROSARIO RAMIREZ LOPEZ";60.0;70.0;65.0;62.0;58.0;60.0;65.0;68.0;15;3;"Regular"
426;"MIGUEL MARTINEZ HERNANDEZ";90.0;85.0;88.0;92.0;91.0;93.0;89.0;91.0;3;5;"Excelente"
427;"SOFIA GONZALEZ PEREZ";55.0;60.0;58.0;57.0;59.0;64.0;61.0;60.0;20;2;"Malo"
428;"FRANCISCO RAMIREZ SANCHEZ";78.0;82.0;80.0;85.0;84.0;88.0;82.0;85.0;8;4;"Bueno"
